,都道府県,種類,面積,知識,年代,人口
0,北海道,面積,83400.0,北海道の面積は83400km2である。,,
1,青森県,面積,9600.0,青森県の面積は9600km2である。,,
2,岩手県,面積,15200.0,岩手県の面積は15200km2である。,,
3,宮城県,面積,7200.0,宮城県の面積は7200km2である。,,
4,秋田県,面積,11600.0,秋田県の面積は11600km2である。,,
5,山形県,面積,9300.0,山形県の面積は9300km2である。,,
6,福島県,面積,13700.0,福島県の面積は13700km2である。,,
7,茨城県,面積,6000.0,茨城県の面積は6000km2である。,,
8,栃木県,面積,6400.0,栃木県の面積は6400km2である。,,
9,群馬県,面積,6300.0,群馬県の面積は6300km2である。,,
10,埼玉県,面積,3700.0,埼玉県の面積は3700km2である。,,
11,千葉県,面積,5100.0,千葉県の面積は5100km2である。,,
12,東京都,面積,2100.0,東京都の面積は2100km2である。,,
13,神奈川県,面積,2400.0,神奈川県の面積は2400km2である。,,
14,新潟県,面積,12500.0,新潟県の面積は12500km2である。,,
15,富山県,面積,4200.0,富山県の面積は4200km2である。,,
16,石川県,面積,4100.0,石川県の面積は4100km2である。,,
17,福井県,面積,4100.0,福井県の面積は4100km2である。,,
18,山梨県,面積,4400.0,山梨県の面積は4400km2である。,,
19,長野県,面積,13500.0,長野県の面積は13500km2である。,,
20,岐阜県,面積,10600.0,岐阜県の面積は10600km2である。,,
21,静岡県,面積,7700.0,静岡県の面積は7700km2である。,,
22,愛知県,面積,5100.0,愛知県の面積は5100km2である。,,
23,三重県,面積,5700.0,三重県の面積は5700km2である。,,
24,滋賀県,面積,4000.0,滋賀県の面積は4000km2である。,,
25,京都府,面積,4600.0,京都府の面積は4600km2である。,,
26,大阪府,面積,1900.0,大阪府の面積は1900km2である。,,
27,兵庫県,面積,8400.0,兵庫県の面積は8400km2である。,,
28,奈良県,面積,3600.0,奈良県の面積は3600km2である。,,
29,和歌山県,面積,4700.0,和歌山県の面積は4700km2である。,,
30,鳥取県,面積,3500.0,鳥取県の面積は3500km2である。,,
31,島根県,面積,6700.0,島根県の面積は6700km2である。,,
32,岡山県,面積,7100.0,岡山県の面積は7100km2である。,,
33,広島県,面積,8400.0,広島県の面積は8400km2である。,,
34,山口県,面積,6100.0,山口県の面積は6100km2である。,,
35,徳島県,面積,4100.0,徳島県の面積は4100km2である。,,
36,香川県,面積,1800.0,香川県の面積は1800km2である。,,
37,愛媛県,面積,5600.0,愛媛県の面積は5600km2である。,,
38,高知県,面積,7100.0,高知県の面積は7100km2である。,,
39,福岡県,面積,4900.0,福岡県の面積は4900km2である。,,
40,佐賀県,面積,2400.0,佐賀県の面積は2400km2である。,,
41,長崎県,面積,4100.0,長崎県の面積は4100km2である。,,
42,熊本県,面積,7400.0,熊本県の面積は7400km2である。,,
43,大分県,面積,6300.0,大分県の面積は6300km2である。,,
44,宮崎県,面積,7700.0,宮崎県の面積は7700km2である。,,
45,鹿児島県,面積,9100.0,鹿児島県の面積は9100km2である。,,
46,沖縄県,面積,2200.0,沖縄県の面積は2200km2である。,,
48,北海道,人口,,1920年の北海道の人口は235万人です。,1920.0,235.0
49,青森県,人口,,1920年の青森県の人口は75万人です。,1920.0,75.0
50,岩手県,人口,,1920年の岩手県の人口は84万人です。,1920.0,84.0
51,宮城県,人口,,1920年の宮城県の人口は96万人です。,1920.0,96.0
52,秋田県,人口,,1920年の秋田県の人口は89万人です。,1920.0,89.0
53,山形県,人口,,1920年の山形県の人口は96万人です。,1920.0,96.0
54,福島県,人口,,1920年の福島県の人口は136万人です。,1920.0,136.0
55,茨城県,人口,,1920年の茨城県の人口は135万人です。,1920.0,135.0
56,栃木県,人口,,1920年の栃木県の人口は104万人です。,1920.0,104.0
57,群馬県,人口,,1920年の群馬県の人口は105万人です。,1920.0,105.0
58,埼玉県,人口,,1920年の埼玉県の人口は131万人です。,1920.0,131.0
59,千葉県,人口,,1920年の千葉県の人口は133万人です。,1920.0,133.0
60,東京都,人口,,1920年の東京都の人口は369万人です。,1920.0,369.0
61,神奈川県,人口,,1920年の神奈川県の人口は132万人です。,1920.0,132.0
62,新潟県,人口,,1920年の新潟県の人口は177万人です。,1920.0,177.0
63,富山県,人口,,1920年の富山県の人口は72万人です。,1920.0,72.0
64,石川県,人口,,1920年の石川県の人口は74万人です。,1920.0,74.0
65,福井県,人口,,1920年の福井県の人口は59万人です。,1920.0,59.0
66,山梨県,人口,,1920年の山梨県の人口は58万人です。,1920.0,58.0
67,長野県,人口,,1920年の長野県の人口は156万人です。,1920.0,156.0
68,岐阜県,人口,,1920年の岐阜県の人口は107万人です。,1920.0,107.0
69,静岡県,人口,,1920年の静岡県の人口は155万人です。,1920.0,155.0
70,愛知県,人口,,1920年の愛知県の人口は208万人です。,1920.0,208.0
71,三重県,人口,,1920年の三重県の人口は106万人です。,1920.0,106.0
72,滋賀県,人口,,1920年の滋賀県の人口は65万人です。,1920.0,65.0
73,京都府,人口,,1920年の京都府の人口は128万人です。,1920.0,128.0
74,大阪府,人口,,1920年の大阪府の人口は258万人です。,1920.0,258.0
75,兵庫県,人口,,1920年の兵庫県の人口は230万人です。,1920.0,230.0
76,奈良県,人口,,1920年の奈良県の人口は56万人です。,1920.0,56.0
77,和歌山県,人口,,1920年の和歌山県の人口は75万人です。,1920.0,75.0
78,鳥取県,人口,,1920年の鳥取県の人口は45万人です。,1920.0,45.0
79,島根県,人口,,1920年の島根県の人口は71万人です。,1920.0,71.0
80,岡山県,人口,,1920年の岡山県の人口は121万人です。,1920.0,121.0
81,広島県,人口,,1920年の広島県の人口は154万人です。,1920.0,154.0
82,山口県,人口,,1920年の山口県の人口は104万人です。,1920.0,104.0
83,徳島県,人口,,1920年の徳島県の人口は67万人です。,1920.0,67.0
84,香川県,人口,,1920年の香川県の人口は67万人です。,1920.0,67.0
85,愛媛県,人口,,1920年の愛媛県の人口は104万人です。,1920.0,104.0
86,高知県,人口,,1920年の高知県の人口は67万人です。,1920.0,67.0
87,福岡県,人口,,1920年の福岡県の人口は218万人です。,1920.0,218.0
88,佐賀県,人口,,1920年の佐賀県の人口は67万人です。,1920.0,67.0
89,長崎県,人口,,1920年の長崎県の人口は113万人です。,1920.0,113.0
90,熊本県,人口,,1920年の熊本県の人口は123万人です。,1920.0,123.0
91,大分県,人口,,1920年の大分県の人口は86万人です。,1920.0,86.0
92,宮崎県,人口,,1920年の宮崎県の人口は65万人です。,1920.0,65.0
93,鹿児島県,人口,,1920年の鹿児島県の人口は141万人です。,1920.0,141.0
94,沖縄県,人口,,1920年の沖縄県の人口は57万人です。,1920.0,57.0
96,北海道,人口,,1925年の北海道の人口は249万人です。,1925.0,249.0
97,青森県,人口,,1925年の青森県の人口は81万人です。,1925.0,81.0
98,岩手県,人口,,1925年の岩手県の人口は90万人です。,1925.0,90.0
99,宮城県,人口,,1925年の宮城県の人口は104万人です。,1925.0,104.0
100,秋田県,人口,,1925年の秋田県の人口は93万人です。,1925.0,93.0
101,山形県,人口,,1925年の山形県の人口は102万人です。,1925.0,102.0
102,福島県,人口,,1925年の福島県の人口は143万人です。,1925.0,143.0
103,茨城県,人口,,1925年の茨城県の人口は140万人です。,1925.0,140.0
104,栃木県,人口,,1925年の栃木県の人口は109万人です。,1925.0,109.0
105,群馬県,人口,,1925年の群馬県の人口は111万人です。,1925.0,111.0
106,埼玉県,人口,,1925年の埼玉県の人口は139万人です。,1925.0,139.0
107,千葉県,人口,,1925年の千葉県の人口は139万人です。,1925.0,139.0
108,東京都,人口,,1925年の東京都の人口は448万人です。,1925.0,448.0
109,神奈川県,人口,,1925年の神奈川県の人口は141万人です。,1925.0,141.0
110,新潟県,人口,,1925年の新潟県の人口は184万人です。,1925.0,184.0
111,富山県,人口,,1925年の富山県の人口は74万人です。,1925.0,74.0
112,石川県,人口,,1925年の石川県の人口は75万人です。,1925.0,75.0
113,福井県,人口,,1925年の福井県の人口は59万人です。,1925.0,59.0
114,山梨県,人口,,1925年の山梨県の人口は60万人です。,1925.0,60.0
115,長野県,人口,,1925年の長野県の人口は162万人です。,1925.0,162.0
116,岐阜県,人口,,1925年の岐阜県の人口は113万人です。,1925.0,113.0
117,静岡県,人口,,1925年の静岡県の人口は167万人です。,1925.0,167.0
118,愛知県,人口,,1925年の愛知県の人口は231万人です。,1925.0,231.0
119,三重県,人口,,1925年の三重県の人口は110万人です。,1925.0,110.0
120,滋賀県,人口,,1925年の滋賀県の人口は66万人です。,1925.0,66.0
121,京都府,人口,,1925年の京都府の人口は140万人です。,1925.0,140.0
122,大阪府,人口,,1925年の大阪府の人口は305万人です。,1925.0,305.0
123,兵庫県,人口,,1925年の兵庫県の人口は245万人です。,1925.0,245.0
124,奈良県,人口,,1925年の奈良県の人口は58万人です。,1925.0,58.0
125,和歌山県,人口,,1925年の和歌山県の人口は78万人です。,1925.0,78.0
126,鳥取県,人口,,1925年の鳥取県の人口は47万人です。,1925.0,47.0
127,島根県,人口,,1925年の島根県の人口は72万人です。,1925.0,72.0
128,岡山県,人口,,1925年の岡山県の人口は123万人です。,1925.0,123.0
129,広島県,人口,,1925年の広島県の人口は161万人です。,1925.0,161.0
130,山口県,人口,,1925年の山口県の人口は109万人です。,1925.0,109.0
131,徳島県,人口,,1925年の徳島県の人口は68万人です。,1925.0,68.0
132,香川県,人口,,1925年の香川県の人口は70万人です。,1925.0,70.0
133,愛媛県,人口,,1925年の愛媛県の人口は109万人です。,1925.0,109.0
134,高知県,人口,,1925年の高知県の人口は68万人です。,1925.0,68.0
135,福岡県,人口,,1925年の福岡県の人口は230万人です。,1925.0,230.0
136,佐賀県,人口,,1925年の佐賀県の人口は68万人です。,1925.0,68.0
137,長崎県,人口,,1925年の長崎県の人口は116万人です。,1925.0,116.0
138,熊本県,人口,,1925年の熊本県の人口は129万人です。,1925.0,129.0
139,大分県,人口,,1925年の大分県の人口は91万人です。,1925.0,91.0
140,宮崎県,人口,,1925年の宮崎県の人口は69万人です。,1925.0,69.0
141,鹿児島県,人口,,1925年の鹿児島県の人口は147万人です。,1925.0,147.0
142,沖縄県,人口,,1925年の沖縄県の人口は55万人です。,1925.0,55.0
144,北海道,人口,,1930年の北海道の人口は281万人です。,1930.0,281.0
145,青森県,人口,,1930年の青森県の人口は87万人です。,1930.0,87.0
146,岩手県,人口,,1930年の岩手県の人口は97万人です。,1930.0,97.0
147,宮城県,人口,,1930年の宮城県の人口は114万人です。,1930.0,114.0
148,秋田県,人口,,1930年の秋田県の人口は98万人です。,1930.0,98.0
149,山形県,人口,,1930年の山形県の人口は108万人です。,1930.0,108.0
150,福島県,人口,,1930年の福島県の人口は150万人です。,1930.0,150.0
151,茨城県,人口,,1930年の茨城県の人口は148万人です。,1930.0,148.0
152,栃木県,人口,,1930年の栃木県の人口は114万人です。,1930.0,114.0
153,群馬県,人口,,1930年の群馬県の人口は118万人です。,1930.0,118.0
154,埼玉県,人口,,1930年の埼玉県の人口は145万人です。,1930.0,145.0
155,千葉県,人口,,1930年の千葉県の人口は147万人です。,1930.0,147.0
156,東京都,人口,,1930年の東京都の人口は540万人です。,1930.0,540.0
157,神奈川県,人口,,1930年の神奈川県の人口は161万人です。,1930.0,161.0
158,新潟県,人口,,1930年の新潟県の人口は193万人です。,1930.0,193.0
159,富山県,人口,,1930年の富山県の人口は77万人です。,1930.0,77.0
160,石川県,人口,,1930年の石川県の人口は75万人です。,1930.0,75.0
161,福井県,人口,,1930年の福井県の人口は61万人です。,1930.0,61.0
162,山梨県,人口,,1930年の山梨県の人口は63万人です。,1930.0,63.0
163,長野県,人口,,1930年の長野県の人口は171万人です。,1930.0,171.0
164,岐阜県,人口,,1930年の岐阜県の人口は117万人です。,1930.0,117.0
165,静岡県,人口,,1930年の静岡県の人口は179万人です。,1930.0,179.0
166,愛知県,人口,,1930年の愛知県の人口は256万人です。,1930.0,256.0
167,三重県,人口,,1930年の三重県の人口は115万人です。,1930.0,115.0
168,滋賀県,人口,,1930年の滋賀県の人口は69万人です。,1930.0,69.0
169,京都府,人口,,1930年の京都府の人口は155万人です。,1930.0,155.0
170,大阪府,人口,,1930年の大阪府の人口は354万人です。,1930.0,354.0
171,兵庫県,人口,,1930年の兵庫県の人口は264万人です。,1930.0,264.0
172,奈良県,人口,,1930年の奈良県の人口は59万人です。,1930.0,59.0
173,和歌山県,人口,,1930年の和歌山県の人口は83万人です。,1930.0,83.0
174,鳥取県,人口,,1930年の鳥取県の人口は48万人です。,1930.0,48.0
175,島根県,人口,,1930年の島根県の人口は73万人です。,1930.0,73.0
176,岡山県,人口,,1930年の岡山県の人口は128万人です。,1930.0,128.0
177,広島県,人口,,1930年の広島県の人口は169万人です。,1930.0,169.0
178,山口県,人口,,1930年の山口県の人口は113万人です。,1930.0,113.0
179,徳島県,人口,,1930年の徳島県の人口は71万人です。,1930.0,71.0
180,香川県,人口,,1930年の香川県の人口は73万人です。,1930.0,73.0
181,愛媛県,人口,,1930年の愛媛県の人口は114万人です。,1930.0,114.0
182,高知県,人口,,1930年の高知県の人口は71万人です。,1930.0,71.0
183,福岡県,人口,,1930年の福岡県の人口は252万人です。,1930.0,252.0
184,佐賀県,人口,,1930年の佐賀県の人口は69万人です。,1930.0,69.0
185,長崎県,人口,,1930年の長崎県の人口は123万人です。,1930.0,123.0
186,熊本県,人口,,1930年の熊本県の人口は135万人です。,1930.0,135.0
187,大分県,人口,,1930年の大分県の人口は94万人です。,1930.0,94.0
188,宮崎県,人口,,1930年の宮崎県の人口は76万人です。,1930.0,76.0
189,鹿児島県,人口,,1930年の鹿児島県の人口は155万人です。,1930.0,155.0
190,沖縄県,人口,,1930年の沖縄県の人口は57万人です。,1930.0,57.0
192,北海道,人口,,1935年の北海道の人口は306万人です。,1935.0,306.0
193,青森県,人口,,1935年の青森県の人口は96万人です。,1935.0,96.0
194,岩手県,人口,,1935年の岩手県の人口は104万人です。,1935.0,104.0
195,宮城県,人口,,1935年の宮城県の人口は123万人です。,1935.0,123.0
196,秋田県,人口,,1935年の秋田県の人口は103万人です。,1935.0,103.0
197,山形県,人口,,1935年の山形県の人口は111万人です。,1935.0,111.0
198,福島県,人口,,1935年の福島県の人口は158万人です。,1935.0,158.0
199,茨城県,人口,,1935年の茨城県の人口は154万人です。,1935.0,154.0
200,栃木県,人口,,1935年の栃木県の人口は119万人です。,1935.0,119.0
201,群馬県,人口,,1935年の群馬県の人口は124万人です。,1935.0,124.0
202,埼玉県,人口,,1935年の埼玉県の人口は152万人です。,1935.0,152.0
203,千葉県,人口,,1935年の千葉県の人口は154万人です。,1935.0,154.0
204,東京都,人口,,1935年の東京都の人口は636万人です。,1935.0,636.0
205,神奈川県,人口,,1935年の神奈川県の人口は184万人です。,1935.0,184.0
206,新潟県,人口,,1935年の新潟県の人口は199万人です。,1935.0,199.0
207,富山県,人口,,1935年の富山県の人口は79万人です。,1935.0,79.0
208,石川県,人口,,1935年の石川県の人口は76万人です。,1935.0,76.0
209,福井県,人口,,1935年の福井県の人口は64万人です。,1935.0,64.0
210,山梨県,人口,,1935年の山梨県の人口は64万人です。,1935.0,64.0
211,長野県,人口,,1935年の長野県の人口は171万人です。,1935.0,171.0
212,岐阜県,人口,,1935年の岐阜県の人口は122万人です。,1935.0,122.0
213,静岡県,人口,,1935年の静岡県の人口は193万人です。,1935.0,193.0
214,愛知県,人口,,1935年の愛知県の人口は286万人です。,1935.0,286.0
215,三重県,人口,,1935年の三重県の人口は117万人です。,1935.0,117.0
216,滋賀県,人口,,1935年の滋賀県の人口は71万人です。,1935.0,71.0
217,京都府,人口,,1935年の京都府の人口は170万人です。,1935.0,170.0
218,大阪府,人口,,1935年の大阪府の人口は429万人です。,1935.0,429.0
219,兵庫県,人口,,1935年の兵庫県の人口は292万人です。,1935.0,292.0
220,奈良県,人口,,1935年の奈良県の人口は62万人です。,1935.0,62.0
221,和歌山県,人口,,1935年の和歌山県の人口は86万人です。,1935.0,86.0
222,鳥取県,人口,,1935年の鳥取県の人口は49万人です。,1935.0,49.0
223,島根県,人口,,1935年の島根県の人口は74万人です。,1935.0,74.0
224,岡山県,人口,,1935年の岡山県の人口は133万人です。,1935.0,133.0
225,広島県,人口,,1935年の広島県の人口は180万人です。,1935.0,180.0
226,山口県,人口,,1935年の山口県の人口は119万人です。,1935.0,119.0
227,徳島県,人口,,1935年の徳島県の人口は72万人です。,1935.0,72.0
228,香川県,人口,,1935年の香川県の人口は74万人です。,1935.0,74.0
229,愛媛県,人口,,1935年の愛媛県の人口は116万人です。,1935.0,116.0
230,高知県,人口,,1935年の高知県の人口は71万人です。,1935.0,71.0
231,福岡県,人口,,1935年の福岡県の人口は275万人です。,1935.0,275.0
232,佐賀県,人口,,1935年の佐賀県の人口は68万人です。,1935.0,68.0
233,長崎県,人口,,1935年の長崎県の人口は129万人です。,1935.0,129.0
234,熊本県,人口,,1935年の熊本県の人口は138万人です。,1935.0,138.0
235,大分県,人口,,1935年の大分県の人口は98万人です。,1935.0,98.0
236,宮崎県,人口,,1935年の宮崎県の人口は82万人です。,1935.0,82.0
237,鹿児島県,人口,,1935年の鹿児島県の人口は159万人です。,1935.0,159.0
238,沖縄県,人口,,1935年の沖縄県の人口は59万人です。,1935.0,59.0
240,北海道,人口,,1940年の北海道の人口は327万人です。,1940.0,327.0
241,青森県,人口,,1940年の青森県の人口は100万人です。,1940.0,100.0
242,岩手県,人口,,1940年の岩手県の人口は109万人です。,1940.0,109.0
243,宮城県,人口,,1940年の宮城県の人口は127万人です。,1940.0,127.0
244,秋田県,人口,,1940年の秋田県の人口は105万人です。,1940.0,105.0
245,山形県,人口,,1940年の山形県の人口は111万人です。,1940.0,111.0
246,福島県,人口,,1940年の福島県の人口は162万人です。,1940.0,162.0
247,茨城県,人口,,1940年の茨城県の人口は162万人です。,1940.0,162.0
248,栃木県,人口,,1940年の栃木県の人口は120万人です。,1940.0,120.0
249,群馬県,人口,,1940年の群馬県の人口は129万人です。,1940.0,129.0
250,埼玉県,人口,,1940年の埼玉県の人口は160万人です。,1940.0,160.0
251,千葉県,人口,,1940年の千葉県の人口は158万人です。,1940.0,158.0
252,東京都,人口,,1940年の東京都の人口は735万人です。,1940.0,735.0
253,神奈川県,人口,,1940年の神奈川県の人口は218万人です。,1940.0,218.0
254,新潟県,人口,,1940年の新潟県の人口は206万人です。,1940.0,206.0
255,富山県,人口,,1940年の富山県の人口は82万人です。,1940.0,82.0
256,石川県,人口,,1940年の石川県の人口は75万人です。,1940.0,75.0
257,福井県,人口,,1940年の福井県の人口は64万人です。,1940.0,64.0
258,山梨県,人口,,1940年の山梨県の人口は66万人です。,1940.0,66.0
259,長野県,人口,,1940年の長野県の人口は171万人です。,1940.0,171.0
260,岐阜県,人口,,1940年の岐阜県の人口は126万人です。,1940.0,126.0
261,静岡県,人口,,1940年の静岡県の人口は201万人です。,1940.0,201.0
262,愛知県,人口,,1940年の愛知県の人口は316万人です。,1940.0,316.0
263,三重県,人口,,1940年の三重県の人口は119万人です。,1940.0,119.0
264,滋賀県,人口,,1940年の滋賀県の人口は70万人です。,1940.0,70.0
265,京都府,人口,,1940年の京都府の人口は172万人です。,1940.0,172.0
266,大阪府,人口,,1940年の大阪府の人口は479万人です。,1940.0,479.0
267,兵庫県,人口,,1940年の兵庫県の人口は322万人です。,1940.0,322.0
268,奈良県,人口,,1940年の奈良県の人口は62万人です。,1940.0,62.0
269,和歌山県,人口,,1940年の和歌山県の人口は86万人です。,1940.0,86.0
270,鳥取県,人口,,1940年の鳥取県の人口は48万人です。,1940.0,48.0
271,島根県,人口,,1940年の島根県の人口は74万人です。,1940.0,74.0
272,岡山県,人口,,1940年の岡山県の人口は132万人です。,1940.0,132.0
273,広島県,人口,,1940年の広島県の人口は186万人です。,1940.0,186.0
274,山口県,人口,,1940年の山口県の人口は129万人です。,1940.0,129.0
275,徳島県,人口,,1940年の徳島県の人口は71万人です。,1940.0,71.0
276,香川県,人口,,1940年の香川県の人口は73万人です。,1940.0,73.0
277,愛媛県,人口,,1940年の愛媛県の人口は117万人です。,1940.0,117.0
278,高知県,人口,,1940年の高知県の人口は70万人です。,1940.0,70.0
279,福岡県,人口,,1940年の福岡県の人口は309万人です。,1940.0,309.0
280,佐賀県,人口,,1940年の佐賀県の人口は70万人です。,1940.0,70.0
281,長崎県,人口,,1940年の長崎県の人口は137万人です。,1940.0,137.0
282,熊本県,人口,,1940年の熊本県の人口は136万人です。,1940.0,136.0
283,大分県,人口,,1940年の大分県の人口は97万人です。,1940.0,97.0
284,宮崎県,人口,,1940年の宮崎県の人口は84万人です。,1940.0,84.0
285,鹿児島県,人口,,1940年の鹿児島県の人口は158万人です。,1940.0,158.0
286,沖縄県,人口,,1940年の沖縄県の人口は57万人です。,1940.0,57.0
288,北海道,人口,,1945年の北海道の人口は351万人です。,1945.0,351.0
289,青森県,人口,,1945年の青森県の人口は108万人です。,1945.0,108.0
290,岩手県,人口,,1945年の岩手県の人口は122万人です。,1945.0,122.0
291,宮城県,人口,,1945年の宮城県の人口は146万人です。,1945.0,146.0
292,秋田県,人口,,1945年の秋田県の人口は121万人です。,1945.0,121.0
293,山形県,人口,,1945年の山形県の人口は132万人です。,1945.0,132.0
294,福島県,人口,,1945年の福島県の人口は195万人です。,1945.0,195.0
295,茨城県,人口,,1945年の茨城県の人口は194万人です。,1945.0,194.0
296,栃木県,人口,,1945年の栃木県の人口は154万人です。,1945.0,154.0
297,群馬県,人口,,1945年の群馬県の人口は154万人です。,1945.0,154.0
298,埼玉県,人口,,1945年の埼玉県の人口は204万人です。,1945.0,204.0
299,千葉県,人口,,1945年の千葉県の人口は196万人です。,1945.0,196.0
300,東京都,人口,,1945年の東京都の人口は348万人です。,1945.0,348.0
301,神奈川県,人口,,1945年の神奈川県の人口は186万人です。,1945.0,186.0
302,新潟県,人口,,1945年の新潟県の人口は238万人です。,1945.0,238.0
303,富山県,人口,,1945年の富山県の人口は95万人です。,1945.0,95.0
304,石川県,人口,,1945年の石川県の人口は88万人です。,1945.0,88.0
305,福井県,人口,,1945年の福井県の人口は72万人です。,1945.0,72.0
306,山梨県,人口,,1945年の山梨県の人口は83万人です。,1945.0,83.0
307,長野県,人口,,1945年の長野県の人口は212万人です。,1945.0,212.0
308,岐阜県,人口,,1945年の岐阜県の人口は151万人です。,1945.0,151.0
309,静岡県,人口,,1945年の静岡県の人口は222万人です。,1945.0,222.0
310,愛知県,人口,,1945年の愛知県の人口は285万人です。,1945.0,285.0
311,三重県,人口,,1945年の三重県の人口は139万人です。,1945.0,139.0
312,滋賀県,人口,,1945年の滋賀県の人口は86万人です。,1945.0,86.0
313,京都府,人口,,1945年の京都府の人口は160万人です。,1945.0,160.0
314,大阪府,人口,,1945年の大阪府の人口は280万人です。,1945.0,280.0
315,兵庫県,人口,,1945年の兵庫県の人口は282万人です。,1945.0,282.0
316,奈良県,人口,,1945年の奈良県の人口は77万人です。,1945.0,77.0
317,和歌山県,人口,,1945年の和歌山県の人口は93万人です。,1945.0,93.0
318,鳥取県,人口,,1945年の鳥取県の人口は56万人です。,1945.0,56.0
319,島根県,人口,,1945年の島根県の人口は86万人です。,1945.0,86.0
320,岡山県,人口,,1945年の岡山県の人口は156万人です。,1945.0,156.0
321,広島県,人口,,1945年の広島県の人口は188万人です。,1945.0,188.0
322,山口県,人口,,1945年の山口県の人口は135万人です。,1945.0,135.0
323,徳島県,人口,,1945年の徳島県の人口は83万人です。,1945.0,83.0
324,香川県,人口,,1945年の香川県の人口は86万人です。,1945.0,86.0
325,愛媛県,人口,,1945年の愛媛県の人口は136万人です。,1945.0,136.0
326,高知県,人口,,1945年の高知県の人口は77万人です。,1945.0,77.0
327,福岡県,人口,,1945年の福岡県の人口は274万人です。,1945.0,274.0
328,佐賀県,人口,,1945年の佐賀県の人口は83万人です。,1945.0,83.0
329,長崎県,人口,,1945年の長崎県の人口は131万人です。,1945.0,131.0
330,熊本県,人口,,1945年の熊本県の人口は155万人です。,1945.0,155.0
331,大分県,人口,,1945年の大分県の人口は112万人です。,1945.0,112.0
332,宮崎県,人口,,1945年の宮崎県の人口は91万人です。,1945.0,91.0
333,鹿児島県,人口,,1945年の鹿児島県の人口は153万人です。,1945.0,153.0
335,北海道,人口,,1950年の北海道の人口は429万人です。,1950.0,429.0
336,青森県,人口,,1950年の青森県の人口は128万人です。,1950.0,128.0
337,岩手県,人口,,1950年の岩手県の人口は134万人です。,1950.0,134.0
338,宮城県,人口,,1950年の宮城県の人口は166万人です。,1950.0,166.0
339,秋田県,人口,,1950年の秋田県の人口は130万人です。,1950.0,130.0
340,山形県,人口,,1950年の山形県の人口は135万人です。,1950.0,135.0
341,福島県,人口,,1950年の福島県の人口は206万人です。,1950.0,206.0
342,茨城県,人口,,1950年の茨城県の人口は203万人です。,1950.0,203.0
