,都道府県,種類,面積,知識,年代,人口
343,栃木県,人口,,1950年の栃木県の人口は155万人です。,1950.0,155.0
344,群馬県,人口,,1950年の群馬県の人口は160万人です。,1950.0,160.0
345,埼玉県,人口,,1950年の埼玉県の人口は214万人です。,1950.0,214.0
346,千葉県,人口,,1950年の千葉県の人口は213万人です。,1950.0,213.0
347,東京都,人口,,1950年の東京都の人口は627万人です。,1950.0,627.0
348,神奈川県,人口,,1950年の神奈川県の人口は248万人です。,1950.0,248.0
349,新潟県,人口,,1950年の新潟県の人口は246万人です。,1950.0,246.0
350,富山県,人口,,1950年の富山県の人口は100万人です。,1950.0,100.0
351,石川県,人口,,1950年の石川県の人口は95万人です。,1950.0,95.0
352,福井県,人口,,1950年の福井県の人口は75万人です。,1950.0,75.0
353,山梨県,人口,,1950年の山梨県の人口は81万人です。,1950.0,81.0
354,長野県,人口,,1950年の長野県の人口は206万人です。,1950.0,206.0
355,岐阜県,人口,,1950年の岐阜県の人口は154万人です。,1950.0,154.0
356,静岡県,人口,,1950年の静岡県の人口は247万人です。,1950.0,247.0
357,愛知県,人口,,1950年の愛知県の人口は339万人です。,1950.0,339.0
358,三重県,人口,,1950年の三重県の人口は146万人です。,1950.0,146.0
359,滋賀県,人口,,1950年の滋賀県の人口は86万人です。,1950.0,86.0
360,京都府,人口,,1950年の京都府の人口は183万人です。,1950.0,183.0
361,大阪府,人口,,1950年の大阪府の人口は385万人です。,1950.0,385.0
362,兵庫県,人口,,1950年の兵庫県の人口は330万人です。,1950.0,330.0
363,奈良県,人口,,1950年の奈良県の人口は76万人です。,1950.0,76.0
364,和歌山県,人口,,1950年の和歌山県の人口は98万人です。,1950.0,98.0
365,鳥取県,人口,,1950年の鳥取県の人口は60万人です。,1950.0,60.0
366,島根県,人口,,1950年の島根県の人口は91万人です。,1950.0,91.0
367,岡山県,人口,,1950年の岡山県の人口は166万人です。,1950.0,166.0
368,広島県,人口,,1950年の広島県の人口は208万人です。,1950.0,208.0
369,山口県,人口,,1950年の山口県の人口は154万人です。,1950.0,154.0
370,徳島県,人口,,1950年の徳島県の人口は87万人です。,1950.0,87.0
371,香川県,人口,,1950年の香川県の人口は94万人です。,1950.0,94.0
372,愛媛県,人口,,1950年の愛媛県の人口は152万人です。,1950.0,152.0
373,高知県,人口,,1950年の高知県の人口は87万人です。,1950.0,87.0
374,福岡県,人口,,1950年の福岡県の人口は353万人です。,1950.0,353.0
375,佐賀県,人口,,1950年の佐賀県の人口は94万人です。,1950.0,94.0
376,長崎県,人口,,1950年の長崎県の人口は164万人です。,1950.0,164.0
377,熊本県,人口,,1950年の熊本県の人口は182万人です。,1950.0,182.0
378,大分県,人口,,1950年の大分県の人口は125万人です。,1950.0,125.0
379,宮崎県,人口,,1950年の宮崎県の人口は109万人です。,1950.0,109.0
380,鹿児島県,人口,,1950年の鹿児島県の人口は180万人です。,1950.0,180.0
381,沖縄県,人口,,1950年の沖縄県の人口は91万人です。,1950.0,91.0
383,北海道,人口,,1955年の北海道の人口は477万人です。,1955.0,477.0
384,青森県,人口,,1955年の青森県の人口は138万人です。,1955.0,138.0
385,岩手県,人口,,1955年の岩手県の人口は142万人です。,1955.0,142.0
386,宮城県,人口,,1955年の宮城県の人口は172万人です。,1955.0,172.0
387,秋田県,人口,,1955年の秋田県の人口は134万人です。,1955.0,134.0
388,山形県,人口,,1955年の山形県の人口は135万人です。,1955.0,135.0
389,福島県,人口,,1955年の福島県の人口は209万人です。,1955.0,209.0
390,茨城県,人口,,1955年の茨城県の人口は206万人です。,1955.0,206.0
391,栃木県,人口,,1955年の栃木県の人口は154万人です。,1955.0,154.0
392,群馬県,人口,,1955年の群馬県の人口は161万人です。,1955.0,161.0
393,埼玉県,人口,,1955年の埼玉県の人口は226万人です。,1955.0,226.0
394,千葉県,人口,,1955年の千葉県の人口は220万人です。,1955.0,220.0
395,東京都,人口,,1955年の東京都の人口は803万人です。,1955.0,803.0
396,神奈川県,人口,,1955年の神奈川県の人口は291万人です。,1955.0,291.0
397,新潟県,人口,,1955年の新潟県の人口は247万人です。,1955.0,247.0
398,富山県,人口,,1955年の富山県の人口は102万人です。,1955.0,102.0
399,石川県,人口,,1955年の石川県の人口は96万人です。,1955.0,96.0
400,福井県,人口,,1955年の福井県の人口は75万人です。,1955.0,75.0
401,山梨県,人口,,1955年の山梨県の人口は80万人です。,1955.0,80.0
402,長野県,人口,,1955年の長野県の人口は202万人です。,1955.0,202.0
403,岐阜県,人口,,1955年の岐阜県の人口は158万人です。,1955.0,158.0
404,静岡県,人口,,1955年の静岡県の人口は265万人です。,1955.0,265.0
405,愛知県,人口,,1955年の愛知県の人口は376万人です。,1955.0,376.0
406,三重県,人口,,1955年の三重県の人口は148万人です。,1955.0,148.0
407,滋賀県,人口,,1955年の滋賀県の人口は85万人です。,1955.0,85.0
408,京都府,人口,,1955年の京都府の人口は193万人です。,1955.0,193.0
409,大阪府,人口,,1955年の大阪府の人口は461万人です。,1955.0,461.0
410,兵庫県,人口,,1955年の兵庫県の人口は362万人です。,1955.0,362.0
411,奈良県,人口,,1955年の奈良県の人口は77万人です。,1955.0,77.0
412,和歌山県,人口,,1955年の和歌山県の人口は100万人です。,1955.0,100.0
413,鳥取県,人口,,1955年の鳥取県の人口は61万人です。,1955.0,61.0
414,島根県,人口,,1955年の島根県の人口は92万人です。,1955.0,92.0
415,岡山県,人口,,1955年の岡山県の人口は168万人です。,1955.0,168.0
416,広島県,人口,,1955年の広島県の人口は214万人です。,1955.0,214.0
417,山口県,人口,,1955年の山口県の人口は160万人です。,1955.0,160.0
418,徳島県,人口,,1955年の徳島県の人口は87万人です。,1955.0,87.0
419,香川県,人口,,1955年の香川県の人口は94万人です。,1955.0,94.0
420,愛媛県,人口,,1955年の愛媛県の人口は154万人です。,1955.0,154.0
421,高知県,人口,,1955年の高知県の人口は88万人です。,1955.0,88.0
422,福岡県,人口,,1955年の福岡県の人口は385万人です。,1955.0,385.0
423,佐賀県,人口,,1955年の佐賀県の人口は97万人です。,1955.0,97.0
424,長崎県,人口,,1955年の長崎県の人口は174万人です。,1955.0,174.0
425,熊本県,人口,,1955年の熊本県の人口は189万人です。,1955.0,189.0
426,大分県,人口,,1955年の大分県の人口は127万人です。,1955.0,127.0
427,宮崎県,人口,,1955年の宮崎県の人口は113万人です。,1955.0,113.0
428,鹿児島県,人口,,1955年の鹿児島県の人口は204万人です。,1955.0,204.0
429,沖縄県,人口,,1955年の沖縄県の人口は80万人です。,1955.0,80.0
431,北海道,人口,,1960年の北海道の人口は503万人です。,1960.0,503.0
432,青森県,人口,,1960年の青森県の人口は142万人です。,1960.0,142.0
433,岩手県,人口,,1960年の岩手県の人口は144万人です。,1960.0,144.0
434,宮城県,人口,,1960年の宮城県の人口は174万人です。,1960.0,174.0
435,秋田県,人口,,1960年の秋田県の人口は133万人です。,1960.0,133.0
436,山形県,人口,,1960年の山形県の人口は132万人です。,1960.0,132.0
437,福島県,人口,,1960年の福島県の人口は205万人です。,1960.0,205.0
438,茨城県,人口,,1960年の茨城県の人口は204万人です。,1960.0,204.0
439,栃木県,人口,,1960年の栃木県の人口は151万人です。,1960.0,151.0
440,群馬県,人口,,1960年の群馬県の人口は157万人です。,1960.0,157.0
441,埼玉県,人口,,1960年の埼玉県の人口は243万人です。,1960.0,243.0
442,千葉県,人口,,1960年の千葉県の人口は230万人です。,1960.0,230.0
443,東京都,人口,,1960年の東京都の人口は968万人です。,1960.0,968.0
444,神奈川県,人口,,1960年の神奈川県の人口は344万人です。,1960.0,344.0
445,新潟県,人口,,1960年の新潟県の人口は244万人です。,1960.0,244.0
446,富山県,人口,,1960年の富山県の人口は103万人です。,1960.0,103.0
447,石川県,人口,,1960年の石川県の人口は97万人です。,1960.0,97.0
448,福井県,人口,,1960年の福井県の人口は75万人です。,1960.0,75.0
449,山梨県,人口,,1960年の山梨県の人口は78万人です。,1960.0,78.0
450,長野県,人口,,1960年の長野県の人口は198万人です。,1960.0,198.0
451,岐阜県,人口,,1960年の岐阜県の人口は163万人です。,1960.0,163.0
452,静岡県,人口,,1960年の静岡県の人口は275万人です。,1960.0,275.0
453,愛知県,人口,,1960年の愛知県の人口は420万人です。,1960.0,420.0
454,三重県,人口,,1960年の三重県の人口は148万人です。,1960.0,148.0
455,滋賀県,人口,,1960年の滋賀県の人口は84万人です。,1960.0,84.0
456,京都府,人口,,1960年の京都府の人口は199万人です。,1960.0,199.0
457,大阪府,人口,,1960年の大阪府の人口は550万人です。,1960.0,550.0
458,兵庫県,人口,,1960年の兵庫県の人口は390万人です。,1960.0,390.0
459,奈良県,人口,,1960年の奈良県の人口は78万人です。,1960.0,78.0
460,和歌山県,人口,,1960年の和歌山県の人口は100万人です。,1960.0,100.0
461,鳥取県,人口,,1960年の鳥取県の人口は59万人です。,1960.0,59.0
462,島根県,人口,,1960年の島根県の人口は88万人です。,1960.0,88.0
463,岡山県,人口,,1960年の岡山県の人口は167万人です。,1960.0,167.0
464,広島県,人口,,1960年の広島県の人口は218万人です。,1960.0,218.0
465,山口県,人口,,1960年の山口県の人口は160万人です。,1960.0,160.0
466,徳島県,人口,,1960年の徳島県の人口は84万人です。,1960.0,84.0
467,香川県,人口,,1960年の香川県の人口は91万人です。,1960.0,91.0
468,愛媛県,人口,,1960年の愛媛県の人口は150万人です。,1960.0,150.0
469,高知県,人口,,1960年の高知県の人口は85万人です。,1960.0,85.0
470,福岡県,人口,,1960年の福岡県の人口は400万人です。,1960.0,400.0
471,佐賀県,人口,,1960年の佐賀県の人口は94万人です。,1960.0,94.0
472,長崎県,人口,,1960年の長崎県の人口は176万人です。,1960.0,176.0
473,熊本県,人口,,1960年の熊本県の人口は185万人です。,1960.0,185.0
474,大分県,人口,,1960年の大分県の人口は123万人です。,1960.0,123.0
475,宮崎県,人口,,1960年の宮崎県の人口は113万人です。,1960.0,113.0
476,鹿児島県,人口,,1960年の鹿児島県の人口は196万人です。,1960.0,196.0
477,沖縄県,人口,,1960年の沖縄県の人口は88万人です。,1960.0,88.0
479,北海道,人口,,1965年の北海道の人口は517万人です。,1965.0,517.0
480,青森県,人口,,1965年の青森県の人口は141万人です。,1965.0,141.0
481,岩手県,人口,,1965年の岩手県の人口は141万人です。,1965.0,141.0
482,宮城県,人口,,1965年の宮城県の人口は175万人です。,1965.0,175.0
483,秋田県,人口,,1965年の秋田県の人口は127万人です。,1965.0,127.0
484,山形県,人口,,1965年の山形県の人口は126万人です。,1965.0,126.0
485,福島県,人口,,1965年の福島県の人口は198万人です。,1965.0,198.0
486,茨城県,人口,,1965年の茨城県の人口は205万人です。,1965.0,205.0
487,栃木県,人口,,1965年の栃木県の人口は152万人です。,1965.0,152.0
488,群馬県,人口,,1965年の群馬県の人口は160万人です。,1965.0,160.0
489,埼玉県,人口,,1965年の埼玉県の人口は301万人です。,1965.0,301.0
490,千葉県,人口,,1965年の千葉県の人口は270万人です。,1965.0,270.0
491,東京都,人口,,1965年の東京都の人口は1086万人です。,1965.0,1086.0
492,神奈川県,人口,,1965年の神奈川県の人口は443万人です。,1965.0,443.0
493,新潟県,人口,,1965年の新潟県の人口は239万人です。,1965.0,239.0
494,富山県,人口,,1965年の富山県の人口は102万人です。,1965.0,102.0
495,石川県,人口,,1965年の石川県の人口は98万人です。,1965.0,98.0
496,福井県,人口,,1965年の福井県の人口は75万人です。,1965.0,75.0
497,山梨県,人口,,1965年の山梨県の人口は76万人です。,1965.0,76.0
498,長野県,人口,,1965年の長野県の人口は195万人です。,1965.0,195.0
499,岐阜県,人口,,1965年の岐阜県の人口は170万人です。,1965.0,170.0
500,静岡県,人口,,1965年の静岡県の人口は291万人です。,1965.0,291.0
501,愛知県,人口,,1965年の愛知県の人口は479万人です。,1965.0,479.0
502,三重県,人口,,1965年の三重県の人口は151万人です。,1965.0,151.0
503,滋賀県,人口,,1965年の滋賀県の人口は85万人です。,1965.0,85.0
504,京都府,人口,,1965年の京都府の人口は210万人です。,1965.0,210.0
505,大阪府,人口,,1965年の大阪府の人口は665万人です。,1965.0,665.0
506,兵庫県,人口,,1965年の兵庫県の人口は430万人です。,1965.0,430.0
507,奈良県,人口,,1965年の奈良県の人口は82万人です。,1965.0,82.0
508,和歌山県,人口,,1965年の和歌山県の人口は102万人です。,1965.0,102.0
509,鳥取県,人口,,1965年の鳥取県の人口は57万人です。,1965.0,57.0
510,島根県,人口,,1965年の島根県の人口は82万人です。,1965.0,82.0
511,岡山県,人口,,1965年の岡山県の人口は164万人です。,1965.0,164.0
512,広島県,人口,,1965年の広島県の人口は228万人です。,1965.0,228.0
513,山口県,人口,,1965年の山口県の人口は154万人です。,1965.0,154.0
514,徳島県,人口,,1965年の徳島県の人口は81万人です。,1965.0,81.0
515,香川県,人口,,1965年の香川県の人口は90万人です。,1965.0,90.0
516,愛媛県,人口,,1965年の愛媛県の人口は144万人です。,1965.0,144.0
517,高知県,人口,,1965年の高知県の人口は81万人です。,1965.0,81.0
518,福岡県,人口,,1965年の福岡県の人口は396万人です。,1965.0,396.0
519,佐賀県,人口,,1965年の佐賀県の人口は87万人です。,1965.0,87.0
520,長崎県,人口,,1965年の長崎県の人口は164万人です。,1965.0,164.0
521,熊本県,人口,,1965年の熊本県の人口は177万人です。,1965.0,177.0
522,大分県,人口,,1965年の大分県の人口は118万人です。,1965.0,118.0
523,宮崎県,人口,,1965年の宮崎県の人口は108万人です。,1965.0,108.0
524,鹿児島県,人口,,1965年の鹿児島県の人口は185万人です。,1965.0,185.0
525,沖縄県,人口,,1965年の沖縄県の人口は93万人です。,1965.0,93.0
529,北海道,人口,,1970年の北海道の人口は518万人です。,1970.0,518.0
530,青森県,人口,,1970年の青森県の人口は142万人です。,1970.0,142.0
531,岩手県,人口,,1970年の岩手県の人口は137万人です。,1970.0,137.0
532,宮城県,人口,,1970年の宮城県の人口は181万人です。,1970.0,181.0
533,秋田県,人口,,1970年の秋田県の人口は124万人です。,1970.0,124.0
534,山形県,人口,,1970年の山形県の人口は122万人です。,1970.0,122.0
535,福島県,人口,,1970年の福島県の人口は194万人です。,1970.0,194.0
536,茨城県,人口,,1970年の茨城県の人口は214万人です。,1970.0,214.0
537,栃木県,人口,,1970年の栃木県の人口は158万人です。,1970.0,158.0
538,群馬県,人口,,1970年の群馬県の人口は165万人です。,1970.0,165.0
539,埼玉県,人口,,1970年の埼玉県の人口は386万人です。,1970.0,386.0
540,千葉県,人口,,1970年の千葉県の人口は336万人です。,1970.0,336.0
541,東京都,人口,,1970年の東京都の人口は1140万人です。,1970.0,1140.0
542,神奈川県,人口,,1970年の神奈川県の人口は547万人です。,1970.0,547.0
543,新潟県,人口,,1970年の新潟県の人口は236万人です。,1970.0,236.0
544,富山県,人口,,1970年の富山県の人口は102万人です。,1970.0,102.0
545,石川県,人口,,1970年の石川県の人口は100万人です。,1970.0,100.0
546,福井県,人口,,1970年の福井県の人口は74万人です。,1970.0,74.0
547,山梨県,人口,,1970年の山梨県の人口は76万人です。,1970.0,76.0
548,長野県,人口,,1970年の長野県の人口は195万人です。,1970.0,195.0
549,岐阜県,人口,,1970年の岐阜県の人口は175万人です。,1970.0,175.0
550,静岡県,人口,,1970年の静岡県の人口は308万人です。,1970.0,308.0
551,愛知県,人口,,1970年の愛知県の人口は538万人です。,1970.0,538.0
552,三重県,人口,,1970年の三重県の人口は154万人です。,1970.0,154.0
553,滋賀県,人口,,1970年の滋賀県の人口は88万人です。,1970.0,88.0
554,京都府,人口,,1970年の京都府の人口は225万人です。,1970.0,225.0
555,大阪府,人口,,1970年の大阪府の人口は762万人です。,1970.0,762.0
556,兵庫県,人口,,1970年の兵庫県の人口は466万人です。,1970.0,466.0
557,奈良県,人口,,1970年の奈良県の人口は93万人です。,1970.0,93.0
558,和歌山県,人口,,1970年の和歌山県の人口は104万人です。,1970.0,104.0
559,鳥取県,人口,,1970年の鳥取県の人口は56万人です。,1970.0,56.0
560,島根県,人口,,1970年の島根県の人口は77万人です。,1970.0,77.0
561,岡山県,人口,,1970年の岡山県の人口は170万人です。,1970.0,170.0
562,広島県,人口,,1970年の広島県の人口は243万人です。,1970.0,243.0
563,山口県,人口,,1970年の山口県の人口は151万人です。,1970.0,151.0
564,徳島県,人口,,1970年の徳島県の人口は79万人です。,1970.0,79.0
565,香川県,人口,,1970年の香川県の人口は90万人です。,1970.0,90.0
566,愛媛県,人口,,1970年の愛媛県の人口は141万人です。,1970.0,141.0
567,高知県,人口,,1970年の高知県の人口は78万人です。,1970.0,78.0
568,福岡県,人口,,1970年の福岡県の人口は402万人です。,1970.0,402.0
569,佐賀県,人口,,1970年の佐賀県の人口は83万人です。,1970.0,83.0
570,長崎県,人口,,1970年の長崎県の人口は157万人です。,1970.0,157.0
571,熊本県,人口,,1970年の熊本県の人口は170万人です。,1970.0,170.0
572,大分県,人口,,1970年の大分県の人口は115万人です。,1970.0,115.0
573,宮崎県,人口,,1970年の宮崎県の人口は105万人です。,1970.0,105.0
574,鹿児島県,人口,,1970年の鹿児島県の人口は172万人です。,1970.0,172.0
575,沖縄県,人口,,1970年の沖縄県の人口は94万人です。,1970.0,94.0
579,北海道,人口,,1975年の北海道の人口は533万人です。,1975.0,533.0
580,青森県,人口,,1975年の青森県の人口は146万人です。,1975.0,146.0
581,岩手県,人口,,1975年の岩手県の人口は138万人です。,1975.0,138.0
582,宮城県,人口,,1975年の宮城県の人口は195万人です。,1975.0,195.0
583,秋田県,人口,,1975年の秋田県の人口は123万人です。,1975.0,123.0
584,山形県,人口,,1975年の山形県の人口は122万人です。,1975.0,122.0
585,福島県,人口,,1975年の福島県の人口は197万人です。,1975.0,197.0
586,茨城県,人口,,1975年の茨城県の人口は234万人です。,1975.0,234.0
587,栃木県,人口,,1975年の栃木県の人口は169万人です。,1975.0,169.0
588,群馬県,人口,,1975年の群馬県の人口は175万人です。,1975.0,175.0
589,埼玉県,人口,,1975年の埼玉県の人口は482万人です。,1975.0,482.0
590,千葉県,人口,,1975年の千葉県の人口は414万人です。,1975.0,414.0
591,東京都,人口,,1975年の東京都の人口は1167万人です。,1975.0,1167.0
592,神奈川県,人口,,1975年の神奈川県の人口は639万人です。,1975.0,639.0
593,新潟県,人口,,1975年の新潟県の人口は239万人です。,1975.0,239.0
594,富山県,人口,,1975年の富山県の人口は107万人です。,1975.0,107.0
595,石川県,人口,,1975年の石川県の人口は106万人です。,1975.0,106.0
596,福井県,人口,,1975年の福井県の人口は77万人です。,1975.0,77.0
597,山梨県,人口,,1975年の山梨県の人口は78万人です。,1975.0,78.0
598,長野県,人口,,1975年の長野県の人口は201万人です。,1975.0,201.0
599,岐阜県,人口,,1975年の岐阜県の人口は186万人です。,1975.0,186.0
600,静岡県,人口,,1975年の静岡県の人口は330万人です。,1975.0,330.0
601,愛知県,人口,,1975年の愛知県の人口は592万人です。,1975.0,592.0
602,三重県,人口,,1975年の三重県の人口は162万人です。,1975.0,162.0
603,滋賀県,人口,,1975年の滋賀県の人口は98万人です。,1975.0,98.0
604,京都府,人口,,1975年の京都府の人口は242万人です。,1975.0,242.0
605,大阪府,人口,,1975年の大阪府の人口は827万人です。,1975.0,827.0
606,兵庫県,人口,,1975年の兵庫県の人口は499万人です。,1975.0,499.0
607,奈良県,人口,,1975年の奈良県の人口は107万人です。,1975.0,107.0
608,和歌山県,人口,,1975年の和歌山県の人口は107万人です。,1975.0,107.0
609,鳥取県,人口,,1975年の鳥取県の人口は58万人です。,1975.0,58.0
610,島根県,人口,,1975年の島根県の人口は76万人です。,1975.0,76.0
611,岡山県,人口,,1975年の岡山県の人口は181万人です。,1975.0,181.0
612,広島県,人口,,1975年の広島県の人口は264万人です。,1975.0,264.0
613,山口県,人口,,1975年の山口県の人口は155万人です。,1975.0,155.0
614,徳島県,人口,,1975年の徳島県の人口は80万人です。,1975.0,80.0
615,香川県,人口,,1975年の香川県の人口は96万人です。,1975.0,96.0
616,愛媛県,人口,,1975年の愛媛県の人口は146万人です。,1975.0,146.0
617,高知県,人口,,1975年の高知県の人口は80万人です。,1975.0,80.0
618,福岡県,人口,,1975年の福岡県の人口は429万人です。,1975.0,429.0
619,佐賀県,人口,,1975年の佐賀県の人口は83万人です。,1975.0,83.0
620,長崎県,人口,,1975年の長崎県の人口は157万人です。,1975.0,157.0
621,熊本県,人口,,1975年の熊本県の人口は171万人です。,1975.0,171.0
622,大分県,人口,,1975年の大分県の人口は119万人です。,1975.0,119.0
623,宮崎県,人口,,1975年の宮崎県の人口は108万人です。,1975.0,108.0
624,鹿児島県,人口,,1975年の鹿児島県の人口は172万人です。,1975.0,172.0
625,沖縄県,人口,,1975年の沖縄県の人口は104万人です。,1975.0,104.0
629,北海道,人口,,1980年の北海道の人口は557万人です。,1980.0,557.0
630,青森県,人口,,1980年の青森県の人口は152万人です。,1980.0,152.0
631,岩手県,人口,,1980年の岩手県の人口は142万人です。,1980.0,142.0
632,宮城県,人口,,1980年の宮城県の人口は208万人です。,1980.0,208.0
633,秋田県,人口,,1980年の秋田県の人口は125万人です。,1980.0,125.0
634,山形県,人口,,1980年の山形県の人口は125万人です。,1980.0,125.0
635,福島県,人口,,1980年の福島県の人口は203万人です。,1980.0,203.0
636,茨城県,人口,,1980年の茨城県の人口は255万人です。,1980.0,255.0
637,栃木県,人口,,1980年の栃木県の人口は179万人です。,1980.0,179.0
638,群馬県,人口,,1980年の群馬県の人口は184万人です。,1980.0,184.0
639,埼玉県,人口,,1980年の埼玉県の人口は542万人です。,1980.0,542.0
640,千葉県,人口,,1980年の千葉県の人口は473万人です。,1980.0,473.0
641,東京都,人口,,1980年の東京都の人口は1161万人です。,1980.0,1161.0
642,神奈川県,人口,,1980年の神奈川県の人口は692万人です。,1980.0,692.0
643,新潟県,人口,,1980年の新潟県の人口は245万人です。,1980.0,245.0
644,富山県,人口,,1980年の富山県の人口は110万人です。,1980.0,110.0
645,石川県,人口,,1980年の石川県の人口は111万人です。,1980.0,111.0
646,福井県,人口,,1980年の福井県の人口は79万人です。,1980.0,79.0
647,山梨県,人口,,1980年の山梨県の人口は80万人です。,1980.0,80.0
648,長野県,人口,,1980年の長野県の人口は208万人です。,1980.0,208.0
649,岐阜県,人口,,1980年の岐阜県の人口は196万人です。,1980.0,196.0
650,静岡県,人口,,1980年の静岡県の人口は344万人です。,1980.0,344.0
651,愛知県,人口,,1980年の愛知県の人口は622万人です。,1980.0,622.0
652,三重県,人口,,1980年の三重県の人口は168万人です。,1980.0,168.0
653,滋賀県,人口,,1980年の滋賀県の人口は107万人です。,1980.0,107.0
654,京都府,人口,,1980年の京都府の人口は252万人です。,1980.0,252.0
655,大阪府,人口,,1980年の大阪府の人口は847万人です。,1980.0,847.0
656,兵庫県,人口,,1980年の兵庫県の人口は514万人です。,1980.0,514.0
657,奈良県,人口,,1980年の奈良県の人口は120万人です。,1980.0,120.0
658,和歌山県,人口,,1980年の和歌山県の人口は108万人です。,1980.0,108.0
659,鳥取県,人口,,1980年の鳥取県の人口は60万人です。,1980.0,60.0
660,島根県,人口,,1980年の島根県の人口は78万人です。,1980.0,78.0
661,岡山県,人口,,1980年の岡山県の人口は187万人です。,1980.0,187.0
662,広島県,人口,,1980年の広島県の人口は273万人です。,1980.0,273.0
663,山口県,人口,,1980年の山口県の人口は158万人です。,1980.0,158.0
664,徳島県,人口,,1980年の徳島県の人口は82万人です。,1980.0,82.0
665,香川県,人口,,1980年の香川県の人口は99万人です。,1980.0,99.0
666,愛媛県,人口,,1980年の愛媛県の人口は150万人です。,1980.0,150.0
667,高知県,人口,,1980年の高知県の人口は83万人です。,1980.0,83.0
668,福岡県,人口,,1980年の福岡県の人口は455万人です。,1980.0,455.0
669,佐賀県,人口,,1980年の佐賀県の人口は86万人です。,1980.0,86.0
670,長崎県,人口,,1980年の長崎県の人口は159万人です。,1980.0,159.0
671,熊本県,人口,,1980年の熊本県の人口は179万人です。,1980.0,179.0
672,大分県,人口,,1980年の大分県の人口は122万人です。,1980.0,122.0
673,宮崎県,人口,,1980年の宮崎県の人口は115万人です。,1980.0,115.0
674,鹿児島県,人口,,1980年の鹿児島県の人口は178万人です。,1980.0,178.0
675,沖縄県,人口,,1980年の沖縄県の人口は110万人です。,1980.0,110.0
679,北海道,人口,,1985年の北海道の人口は567万人です。,1985.0,567.0
680,青森県,人口,,1985年の青森県の人口は152万人です。,1985.0,152.0
681,岩手県,人口,,1985年の岩手県の人口は143万人です。,1985.0,143.0
682,宮城県,人口,,1985年の宮城県の人口は217万人です。,1985.0,217.0
